100;287;0; 0,00;
200;597;0; 0,00;
300;899;29; 1,55;
400;1124;82; 1,31;
500;1342;158; 1,20;
600;1270;230; 1,10;
700;1192;308; 1,03;
800;1086;414; 0,94;
900;967;533; 0,87;
1000;832;668; 0,81;
1100;698;802; 0,76;
1200;563;937; 0,72;
1300;451;1049; 0,69;
1400;370;1130; 0,66;
1500;321;1179; 0,63;
1600;271;1229; 0,61;
1700;217;1283; 0,59;
1800;151;1349; 0,56;
1900;85;1415; 0,53;
2000;21;1479; 0,50;
2090;0;0;null;
END

