100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2324;75; 1,28;
500;2880;120; 1,11;
600;2843;157; 1,01;
700;2749;251; 0,87;
800;2678;322; 0,81;
900;2609;391; 0,75;
1000;2519;481; 0,68;
1100;2441;559; 0,64;
1200;2345;655; 0,59;
1300;2251;749; 0,56;
1400;2168;832; 0,52;
1500;2063;937; 0,49;
1600;1980;1020; 0,47;
1700;1895;1105; 0,45;
1800;1809;1191; 0,43;
1900;1734;1266; 0,41;
2000;1653;1347; 0,39;
2100;1590;1410; 0,38;
2200;1510;1490; 0,37;
2300;1422;1578; 0,35;
2400;1322;1678; 0,34;
2500;1255;1745; 0,33;
2600;1144;1856; 0,31;
2700;1060;1940; 0,30;
2800;988;2012; 0,30;
2900;931;2069; 0,29;
3000;869;2131; 0,28;
3100;785;2215; 0,27;
3200;692;2308; 0,27;
3300;628;2372; 0,26;
3400;577;2423; 0,26;
3500;537;2463; 0,25;
3600;480;2520; 0,25;
3700;422;2578; 0,24;
3800;373;2627; 0,24;
3900;317;2683; 0,23;
4000;262;2738; 0,23;
4100;213;2787; 0,22;
