100;330;0; 0,00;
200;674;0; 0,00;
300;1034;0; 0,00;
400;1318;12; 1,71;
500;1656;38; 1,69;
600;1997;101; 1,69;
700;2269;193; 1,67;
800;2512;312; 1,67;
900;2708;468; 1,66;
1000;2843;693; 1,65;
1100;2963;936; 1,64;
1200;3143;1154; 1,62;
1300;3192;1433; 1,60;
1400;3236;1726; 1,58;
1500;3262;2027; 1,57;
1600;3322;2334; 1,56;
1700;3344;2667; 1,54;
1800;3412;2972; 1,53;
1900;3439;3288; 1,51;
2000;3463;3598; 1,50;
2100;3529;3899; 1,49;
2200;3600;4203; 1,48;
2300;3625;4543; 1,46;
2400;3651;4857; 1,45;
2500;3659;5193; 1,44;
2600;3734;5482; 1,43;
2700;3813;5770; 1,42;
2800;3830;6076; 1,42;
2900;3852;6399; 1,41;
3000;3920;6701; 1,40;
3100;3977;7033; 1,39;
3200;4028;7345; 1,39;
3300;4089;7671; 1,38;
3400;4156;7960; 1,37;
3500;4170;8316; 1,36;
3600;4205;8638; 1,36;
3700;4224;8998; 1,35;
3800;4301;9297; 1,34;
3900;4365;9586; 1,34;
4000;4323;9990; 1,33;
4100;4357;10306; 1,33;
