100;330;0; 0,00;
200;674;0; 0,00;
300;1034;0; 0,00;
400;1318;12; 1,70;
500;1653;41; 1,69;
600;1986;112; 1,68;
700;2253;209; 1,66;
800;2490;334; 1,66;
900;2663;513; 1,65;
1000;2777;759; 1,64;
1100;2882;1017; 1,64;
1200;3020;1277; 1,62;
1300;3077;1548; 1,61;
1400;3120;1842; 1,59;
1500;3153;2136; 1,58;
1600;3210;2446; 1,56;
1700;3241;2770; 1,55;
1800;3339;3045; 1,54;
1900;3391;3336; 1,52;
2000;3395;3666; 1,51;
2100;3459;3969; 1,50;
2200;3519;4284; 1,49;
2300;3569;4599; 1,48;
2400;3593;4915; 1,47;
2500;3634;5218; 1,46;
2600;3703;5513; 1,45;
2700;3774;5809; 1,44;
2800;3759;6147; 1,43;
2900;3782;6469; 1,42;
3000;3857;6764; 1,42;
3100;3940;7070; 1,41;
3200;3976;7397; 1,40;
3300;4045;7715; 1,39;
3400;4106;8010; 1,38;
3500;4144;8342; 1,38;
3600;4189;8654; 1,37;
3700;4215;9007; 1,36;
3800;4296;9302; 1,36;
3900;4312;9639; 1,35;
4000;4351;9962; 1,35;
4100;4369;10294; 1,34;
