100;163;0; 0,00;
200;342;0; 0,00;
300;529;0; 0,00;
400;657;11; 1,68;
500;830;19; 1,69;
600;975;61; 1,72;
700;1120;113; 1,72;
800;1223;182; 1,72;
900;1308;290; 1,72;
1000;1321;440; 1,72;
1100;1340;583; 1,71;
1200;1372;740; 1,71;
1300;1391;890; 1,71;
1400;1387;1079; 1,71;
1500;1358;1261; 1,70;
1600;1370;1430; 1,70;
1700;1365;1616; 1,70;
1800;1385;1784; 1,70;
1900;1376;1970; 1,70;
2000;1380;2143; 1,70;
2100;1384;2328; 1,70;
2200;1398;2498; 1,69;
2300;1388;2689; 1,69;
2400;1400;2856; 1,69;
2500;1438;3017; 1,69;
2600;1456;3196; 1,69;
2700;1483;3378; 1,69;
2800;1465;3554; 1,69;
2900;1448;3744; 1,69;
3000;1442;3925; 1,69;
3100;1416;4132; 1,69;
3200;1419;4307; 1,69;
3300;1424;4490; 1,69;
3400;1439;4657; 1,69;
3500;1414;4854; 1,69;
3600;1413;5047; 1,69;
3700;1436;5219; 1,69;
3800;1409;5422; 1,68;
3900;1410;5600; 1,68;
4000;1412;5769; 1,68;
4100;1419;5933; 1,68;
